order_id,date,region,category,product,salesperson,quantity,unit_price,revenue,is_returned
ORD-000001,2024-11-23,Central,Clothing,Product-015,Rep-05,8,17.38,139.04,Yes
ORD-000002,2024-12-12,North,Sports,Product-028,Rep-02,48,446.63,21438.24,Yes
ORD-000003,2024-02-17,West,Electronics,Product-036,Rep-07,14,120.17,1682.38,No
ORD-000004,2024-04-22,North,Clothing,Product-045,Rep-14,29,296.69,8604.01,No
ORD-000005,2024-05-22,Central,Electronics,Product-006,Rep-13,10,111.58,1115.8,Yes
ORD-000006,2024-07-02,North,Books,Product-035,Rep-04,23,303.84,6988.32,No
ORD-000007,2024-02-10,West,Food,Product-037,Rep-07,36,150.12,5404.32,Yes
ORD-000008,2024-01-24,Central,Electronics,Product-015,Rep-04,43,117.81,5065.83,No
ORD-000009,2024-05-22,Central,Clothing,Product-024,Rep-12,30,319.66,9589.8,No
ORD-000010,2024-12-09,North,Sports,Product-041,Rep-06,18,352.4,6343.2,No
ORD-000011,2024-03-24,West,Clothing,Product-044,Rep-11,30,192.83,5784.9,Yes
ORD-000012,2024-04-27,East,Food,Product-005,Rep-07,3,403.5,1210.5,No
ORD-000013,2024-04-18,East,Clothing,Product-017,Rep-05,42,252.12,10589.04,No
ORD-000014,2024-10-14,West,Books,Product-038,Rep-13,35,135.06,4727.1,No
ORD-000015,2024-04-22,North,Electronics,Product-008,Rep-05,9,257.22,2314.98,No
ORD-000016,2024-12-14,East,Books,Product-039,Rep-15,28,300.22,8406.16,No
ORD-000017,2024-10-10,North,Sports,Product-049,Rep-09,1,341.74,341.74,No
ORD-000018,2024-02-27,East,Electronics,Product-047,Rep-09,19,220.21,4183.99,No
ORD-000019,2024-09-16,Central,Sports,Product-039,Rep-07,7,435.91,3051.37,No
ORD-000020,2024-07-10,West,Electronics,Product-039,Rep-11,49,84.97,4163.53,No
ORD-000021,2024-01-10,Central,Clothing,Product-004,Rep-08,8,464.9,3719.2,Yes
ORD-000022,2024-02-13,North,Sports,Product-050,Rep-05,47,245.57,11541.79,No
ORD-000023,2024-12-03,South,Food,Product-034,Rep-20,31,473.69,14684.39,No
